A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
m 31044 21131
m 22633 16923
m 4585 24413
m 13279 19287
m 19464 15149
m 22363 6416
m 28606 7526
m 1121 28767
m 26969 25014
m 7026 5917
m 20472 28418
m 32060 9617
m 29996 17375
m 4330 10435
m 4693 1425
m 27715 981
m 3652 13542
m 25606 29863
m 26268 20956
m 26307 1023
m 4964 9565
m 23496 18868
m 6435 27813
m 14385 17953
m 26844 1155
m 8884 23630
m 494 16692
m 3212 15014
m 27971 26806
m 9952 19362
m 23527 1731
m 30299 17180
m 10337 22759
m 32376 28804
m 8584 4821
m 4428 23543
m 26362 11932
m 28159 25060
m 22867 25381
m 2594 11389
m 17028 19362
m 16118 16091
m 2888 19255
m 13961 24977
m 22527 11471
m 23569 17485
m 25397 12785
m 13272 8926
m 26265 14390
m 10366 7772
m 20161 14854
m 2089 28360
m 21817 10839
m 15712 15597
m 12582 14044
m 11995 16448
m 31135 9624
m 27059 847
m 12404 21450
m 15615 5023
m 22899 1880
m 32051 16005
m 18881 11573
m 28227 16231
m 19485 5308
m 23011 24106
m 27843 29069
m 8267 15688
m 9468 17652
m 21031 14543
m 4623 21947
m 2331 16849
m 8656 18757
m 31306 5378
m 16940 10446
m 25190 1104
m 28584 18737
m 8218 24822
=======
n 22967 16745
n 10767 873
n 27224 18744
n 21480 26128
n 10586 11436
n 1395 3291
n 4585 4419
n 30641 22488
n 10530 9469
n 1234 17286
n 9944 23011
n 5492 787
n 10684 29374
n 12425 11953
n 16143 12751
n 25479 7883
n 3637 27757
n 6869 1212
n 8359 16584
n 5843 29818
n 5737 5714
n 3063 20666
n 10942 11105
n 10992 26049
n 6279 4313
n 775 3149
n 20931 16481
n 5582 14961
n 21060 3448
n 24245 8904
n 30983 26246
n 2020 16639
n 5048 7102
n 16465 3819
n 28219 27100
n 15284 21927
n 23634 22279
n 752 18872
n 30227 18141
n 7509 24240
n 11064 4498
n 13467 26973
n 423 9299
n 25697 19810
n 18940 17902
n 21849 23024
n 10121 29509
n 13192 2485
n 27150 18105
n 5164 29604
n 2754 15762
n 27 14684
n 5590 18646
n 31035 12265
n 5363 24644
n 22226 22254
n 640 5207
n 14042 23274
n 32437 24945
n 16083 24971
n 18747 29519
n 18862 26162
n 22830 2360
n 4541 9283
n 2998 2340
n 29980 11747
n 19530 4461
n 6665 15134
n 12727 1319
n 31945 16974
n 11583 26796
n 26284 3065
n 6421 13271
n 31545 27662
n 15682 20425
n 24802 7002
n 25513 25589
n 19142 19567
n 13364 27204
n 5026 11255
n 10084 13939
n 12577 7353
n 19844 28658
n 19186 3248
n 27880 12248
n 7273 27660
n 9941 4799
n 16161 17320
n 15104 626
n 20200 21998
n 19166 18721
n 1922 28924
n 31990 28081
n 15089 11090
n 22740 16928
n 18456 24215
n 5060 3613
n 220 16478
n 21014 18946
n 30632 22525
m 15459 18453
m 20098 5964
m 12226 20722
m 18333 20220
m 28075 13483
m 26285 13203
m 3388 15494
m 5000 8756
m 18909 18024
m 26430 18563
m 11723 17923
m 139 13403
m 14365 17532
m 27682 19020
m 9406 24952
m 1559 2998
m 9715 29831
m 30457 27631
m 14097 13738
m 3581 2900
m 26276 2196
m 2453 16294
m 24948 23115
m 15597 19785
m 18450 5322
m 31198 7283
m 17336 27821
m 16999 26344
m 11285 17609
m 14313 3001
m 21938 18446
m 27031 17457
m 26369 22518
m 27876 21732
m 8946 18714
m 6196 23303
m 20981 9650
m 31685 23236
m 25588 10469
m 3406 3030
m 32742 18089
m 25467 8133
m 10101 22921
m 22164 19823
m 31939 20157
m 9425 5199
m 18938 21269
m 11394 11510
m 14686 17468
m 11322 13357
m 15786 4051
m 30708 3929
m 30483 28850
m 7600 6102
m 18024 28114
m 22737 1498
m 30667 27606
m 26220 29457
m 14576 19582
m 31661 3047
m 25975 23093
m 17933 2629
m 25701 3931
m 6147 15831
m 30385 17221
m 3776 12206
m 17163 21184
m 41 26542
m 24935 26614
m 31800 19658
m 11867 14242
m 1151 26337
m 30221 13489
m 10795 26651
m 14216 13840
m 7644 5485
m 8930 29363
m 28512 24184
m 28069 29925
m 32578 8528
m 7416 21495
m 2032 10863
m 8867 27374
m 31721 6101
m 3156 17359
m 14378 10682
m 19326 14141
m 8501 10750
m 9527 650
m 14272 2472
m 2909 16635
m 21560 11279
m 22270 21757
m 15716 12715
m 11886 9148
m 1860 11629
m 27326 23690
m 11885 18735
m 19675 4087
m 23325 23342
>>>>>>> ce7dc34 (plot e problema do solver otimo)
