A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
m 12867 8505
m 22210 24906
m 16847 16778
m 814 11371
m 7219 20098
m 31304 14864
m 25496 813
m 17383 29947
m 22322 29025
m 7247 15302
m 3125 28290
m 2962 25969
m 18389 1802
m 13470 17390
m 30535 7799
m 22795 8597
m 26252 17048
m 22264 4275
m 29515 20921
m 24202 27559
m 8764 25751
m 5059 17841
m 3764 6837
m 18395 15719
m 11239 22984
m 9555 20671
m 12718 13823
m 15043 18443
m 31100 3321
m 27072 27636
m 24239 3139
m 20695 1329
m 25741 22956
m 17089 10466
m 1968 13000
m 18796 3825
m 19874 12870
m 31609 6677
m 16053 24064
m 25800 25245
m 1889 15262
m 14596 17893
m 24810 16021
m 24566 11739
m 21299 17803
m 6138 15679
m 20672 4858
m 19435 5111
m 25605 140
m 20812 4449
m 28260 18883
m 12554 6592
m 32542 21255
m 31135 18939
m 22321 22619
m 28237 24393
m 11429 12041
m 30113 16065
m 147 10937
m 15399 29172
m 6211 140
m 15590 536
m 3794 13687
m 17630 2152
m 28854 16865
m 28431 5556
m 26276 11193
m 7163 8252
m 19570 5908
m 27303 23391
m 23234 27120
m 4541 6513
m 8020 22322
m 10994 19257
m 23895 27125
=======
n 13404 14144
n 14162 22447
n 13663 23080
n 11669 8458
n 31925 16479
n 184 17405
n 25386 13646
n 7682 8293
n 13478 24590
n 10777 1923
n 14430 7718
n 17091 570
n 19351 15215
n 117 14823
n 27547 5400
n 9200 24406
n 29418 13950
n 26755 4470
n 22192 9066
n 19360 15029
n 27781 12496
n 13424 2939
n 14890 25425
n 7352 1587
n 7660 536
n 4250 9652
n 13601 24802
n 6920 21174
n 15692 28223
n 13484 2347
n 13240 25014
n 12117 4830
n 26563 24911
n 8691 3124
n 13773 25691
n 18219 17165
n 23929 5495
n 32081 25164
n 19459 27685
n 20024 16089
n 16143 22831
n 22173 9710
n 31123 26692
n 3895 19700
n 1969 23562
n 7632 19255
n 3100 19924
n 11176 5343
n 20628 23279
n 15928 10519
n 32980 28725
n 21943 28062
n 3800 10710
n 22547 13081
n 17180 5
n 20475 22819
n 10128 29122
n 10120 4657
n 9477 1902
n 6256 15402
n 16492 20790
n 13842 16685
n 31053 12418
n 6622 21209
n 5561 3049
n 23473 23782
n 16907 7273
n 17861 25704
n 31592 18311
n 23845 23829
n 30868 27413
n 18778 12687
n 32804 20602
n 14147 1975
n 23580 19769
n 4319 5738
n 5682 10132
n 29996 12192
n 31849 19556
n 11532 29430
n 28406 9405
n 31031 10974
n 15975 19926
n 29337 9931
n 3990 1826
n 2956 19849
n 21577 18620
n 10543 13826
n 24178 9499
n 8482 19879
n 9739 10974
n 20533 28956
n 6943 13003
n 11706 4440
n 4389 12238
n 16772 18426
n 29069 12525
n 24017 5547
n 20686 18271
n 1105 18954
m 20410 6054
m 3108 21467
m 3559 9485
m 8581 17106
m 16170 1838
m 32868 22117
m 1578 21669
m 29819 10986
m 4305 12703
m 3996 23654
m 24318 2537
m 17796 10692
m 18200 21951
m 31393 3403
m 29287 27044
m 23546 21398
m 6814 11758
m 24563 3930
m 28993 20876
m 2572 16780
m 8814 872
m 32664 16805
m 13422 13814
m 6815 18274
m 23890 24891
m 14019 2204
m 16129 9924
m 28856 10031
m 16570 11715
m 17335 4974
m 32701 3165
m 21292 22902
m 10422 166
m 15904 23249
m 32452 29198
m 23196 26907
m 32079 26713
m 16488 8602
m 24541 12754
m 12835 7133
m 25329 12719
m 26588 16813
m 13591 3566
m 23168 19396
m 8201 26077
m 21433 11894
m 13827 21345
m 17856 1222
m 10571 13522
m 2955 8428
m 30675 13693
m 12990 14663
m 28079 5817
m 28357 24884
m 18765 69
m 2792 18834
m 24576 918
m 22920 11213
m 8505 17642
m 31600 7252
m 5574 29155
m 4078 24340
m 11762 12302
m 4847 21151
m 13859 26561
m 27036 24849
m 5020 26404
m 17357 6077
m 21955 9981
m 4187 13986
m 2554 12806
m 26910 12401
m 21229 15716
m 23413 20856
m 32068 5576
m 7252 7408
m 6307 25460
m 9054 10772
m 5813 28196
m 14277 29806
m 22192 11900
m 29937 2408
m 11185 28198
m 23761 5163
m 278 15088
m 31182 25913
m 8661 19623
m 21546 4937
m 24404 25100
m 14604 3110
m 13919 26135
m 22233 24124
m 4070 28239
m 30802 7890
m 18009 23608
m 93 5412
m 2407 28791
m 16324 7232
m 16571 5466
m 15098 26042
>>>>>>> ce7dc34 (plot e problema do solver otimo)
