A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
m 8705 15421
m 7059 19014
m 24525 8810
m 29339 1632
m 22550 543
m 2995 6690
m 16897 21027
m 23440 22030
m 6450 27183
m 31415 23602
m 24095 11369
m 31258 5489
m 14810 8113
m 19508 2075
m 9860 11094
m 28315 6293
m 26300 6755
m 13958 17680
m 12161 17040
m 27663 22877
m 31937 1337
m 5312 12597
m 3802 19326
m 2771 17679
m 18051 8913
m 26476 27955
m 17948 29600
m 1028 7535
m 31648 28335
m 4970 9953
m 7839 28072
m 26076 22570
m 1579 4829
m 4173 6886
m 17282 15080
m 1281 4171
m 23861 23780
m 12117 20568
m 24355 26035
m 29505 12588
m 17558 22132
m 11744 27705
m 6773 4145
m 20159 27977
m 15621 5036
m 6693 18837
m 13989 20158
m 7292 784
m 28415 24543
m 29866 15836
m 18701 12364
m 7177 22612
m 22451 23416
m 26983 26054
m 20489 2354
m 14180 22940
m 10733 27117
m 17897 14510
m 1280 26504
m 23883 22165
m 11371 9973
m 7379 8120
m 793 12034
m 25906 14108
m 10298 28633
m 22991 28820
m 30782 5040
m 651 12574
m 29195 23840
m 32142 29034
m 24998 166
m 28032 13336
m 24652 24728
m 21352 13166
m 13999 1666
m 20911 11379
m 7742 8413
m 6271 21895
m 30387 8745
m 14442 3541
m 11471 27712
m 10312 13365
m 14071 29183
>>>>>>> ce7dc34 (plot e problema do solver otimo)
