A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
m 11180 19719
m 25915 24020
m 21566 21186
m 30437 24395
m 32917 22204
m 13171 28999
m 32463 13534
m 23511 21085
m 24036 24964
m 21305 26941
m 27596 23008
m 3909 9172
m 2322 17572
m 14757 15343
m 17837 17757
m 11157 11490
m 11746 27994
m 24203 4236
m 1354 17558
m 6347 24186
m 27554 10478
m 19325 17295
m 25805 23226
m 6891 1684
m 9256 9524
>>>>>>> ce7dc34 (plot e problema do solver otimo)
