A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 12939 7045
n 18381 8616
n 1333 25225
n 18751 15125
n 5161 21121
n 11832 24071
n 12949 15829
n 19278 10670
n 22514 29938
n 1627 19845
n 8606 4131
n 18105 21633
n 4736 22304
n 17857 14711
n 22829 26285
n 10261 16790
n 28275 11696
n 20338 19172
n 29665 10061
n 25326 20882
n 2899 25570
n 5114 21125
n 9207 1206
n 14992 21212
n 23068 3179
n 10939 25012
n 5514 3080
n 10999 24168
n 28199 3232
n 5000 29825
n 4621 20338
n 25106 8844
n 18304 576
n 32708 3714
n 13198 17006
n 11188 11530
n 22444 15956
n 21612 6638
n 15287 13249
n 21022 15130
n 23397 2099
m 32173 21404
m 7240 9761
m 18190 28103
m 2885 5851
m 4466 19111
m 14295 8649
m 6227 3383
m 22858 26778
m 21411 16755
m 23313 19556
m 7690 26951
m 6751 13955
m 26796 25903
m 12269 7268
m 14350 22143
m 31564 19391
m 12473 15850
m 18715 23704
m 31597 971
m 32310 13623
m 2901 8781
m 10586 28569
m 17380 16930
m 1188 6796
m 32625 7312
m 10808 4059
m 3528 2909
m 21257 7095
m 15990 13682
m 3562 10462
m 547 3020
m 23338 22465
m 19314 13625
m 26303 16576
m 20551 9134
m 26535 23992
m 31829 4127
m 18829 29165
m 5043 5468
m 6806 24224
m 4636 27960
m 14110 2128
m 10026 20670
m 11439 10364
m 18062 27589
m 22814 15591
m 8711 17148
m 22527 13239
m 7319 23375
m 6703 28477
m 13448 13082
m 15786 25597
m 23214 29981
m 5395 20449
m 10712 22149
m 3411 18025
m 26352 4223
m 4552 24266
m 21100 23641
m 23090 3953
m 16876 29329
m 26450 7084
m 31459 2262
m 32709 26268
m 28615 26008
m 22247 22193
m 20256 13285
m 5016 4602
m 30412 6097
m 3030 15471
m 8314 8748
m 2512 27900
m 32358 14424
m 25748 22497
m 3045 4501
m 11514 21392
m 28161 5574
m 18239 23656
m 7455 674
m 1172 20947
m 5282 827
m 8630 13714
m 7534 23869
m 8661 6099
m 19389 10727
m 4005 8274
m 12259 933
m 22531 25754
m 25927 25024
m 24389 20358
m 21449 8955
m 10039 22968
m 30765 4778
m 28101 16128
m 27765 18906
m 26786 25703
m 29422 9216
m 10662 7062
m 27546 1318
m 18539 26031
>>>>>>> ce7dc34 (plot e problema do solver otimo)
