A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
m 28025 14187
m 24119 19526
m 22637 984
m 22183 3726
m 25748 26163
m 1721 17735
m 24878 22189
m 25124 20289
m 4966 18778
m 24156 27301
m 11410 10543
m 13390 3984
m 25785 2901
m 30222 28108
m 11982 26849
m 11371 24513
m 30951 4693
m 8435 27899
m 10613 10137
m 47 12658
m 3872 25374
m 14567 8162
m 460 8715
m 2218 23318
m 16752 17447
m 18502 11182
m 955 10318
m 2743 28743
m 15984 4273
m 11634 19478
m 28335 20767
m 31244 18094
m 7512 8361
m 2097 24966
m 29956 13745
>>>>>>> ce7dc34 (plot e problema do solver otimo)
