A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
m 24748 9678
m 23326 15153
m 15849 27966
m 4536 21834
m 26379 21113
m 9725 1053
m 20670 22801
m 23595 23910
m 5858 18316
m 21235 10553
m 19897 2620
m 363 17092
m 24556 26181
m 19715 24395
m 10269 13892
m 14265 5033
m 28792 10813
=======
n 8089 23480
n 12156 11468
n 12186 150
n 8584 23056
n 31385 431
n 471 3784
n 7503 12247
n 16103 162
n 28636 18526
n 23552 17898
n 2811 5795
n 3532 27535
n 14392 4472
n 21522 11063
n 19736 10678
n 16866 21477
n 29724 26615
n 15385 6377
n 17733 20514
n 24454 14055
n 23086 1249
n 3196 28686
n 22870 25698
n 20975 4173
n 18155 6462
n 3117 6312
n 18803 14106
n 8269 14856
n 603 1239
n 17972 28559
n 32127 1755
n 23802 15426
n 31620 1128
n 16307 22570
n 8515 3409
n 13106 5863
n 17219 21227
n 19259 20258
n 5245 9357
n 11205 13727
n 21418 14264
n 16846 19951
n 18106 1083
n 2920 19398
n 3743 3026
n 12004 21112
n 23028 20708
n 27727 22878
n 14761 18343
n 4260 25359
n 7900 24721
n 27453 17921
n 17394 29637
n 30252 5813
n 11677 38
n 118 8374
n 12159 913
n 4213 29637
n 8716 26424
n 18401 7518
n 10854 22040
n 31343 22668
n 30806 19110
n 20488 28752
n 32026 2557
n 23667 4336
n 17432 18507
n 25601 2362
n 4622 27885
n 183 10071
n 8700 17516
n 22730 25472
n 10480 23309
n 12129 3584
n 10450 20773
n 32246 27944
n 6575 2277
n 11994 28020
n 8460 26075
n 32259 21534
n 23199 128
n 13396 2880
n 6822 18546
n 32766 24215
n 26295 25277
n 31496 4628
n 4904 1089
n 16498 11382
n 22337 2531
n 2485 3025
n 12182 14674
n 26904 13129
n 12662 1331
n 9309 11693
n 8043 1173
n 25156 1694
n 15901 16489
n 22604 11598
n 5153 5896
n 31625 28058
m 28585 3760
m 21225 10129
m 25120 26204
m 2245 4160
m 5672 13082
m 5373 25959
m 12919 3285
m 13778 15533
m 24700 5589
m 14795 27248
m 17398 19952
m 14583 12401
m 20282 27471
m 27546 17257
m 22820 28565
m 7433 8990
m 31509 19641
m 7386 29348
m 32015 11087
m 11080 29357
m 22710 29024
m 3096 9944
m 17727 26576
m 5478 27049
m 4474 10935
m 3747 27276
m 25662 13127
m 8455 22456
m 17908 28211
m 8329 19974
m 20740 19456
m 1377 4004
m 11177 7115
m 226 20985
m 31411 29485
m 23142 28044
m 23267 4593
m 18903 842
m 32806 7730
m 1181 27032
m 17729 20802
m 4613 12987
m 30738 22148
m 9363 5704
m 1258 18648
m 10794 24079
m 13743 17611
m 32399 29685
m 29722 11775
m 18471 9761
m 23763 20797
m 30637 26922
m 7244 13346
m 31475 19159
m 31755 26749
m 10622 19157
m 10359 28933
m 31203 28138
m 11859 2566
m 20064 14475
m 7649 17666
m 10951 26466
m 21837 10792
m 13 29250
m 32185 16917
m 27211 23751
m 10021 9532
m 23587 641
m 26997 14568
m 18511 16698
m 15794 1110
m 23892 8107
m 28789 24357
m 31780 22775
m 20589 4468
m 31316 3994
m 4714 28100
m 9504 15355
m 4534 2237
m 22129 23665
m 31349 20424
m 2673 23
m 232 26201
m 1588 24091
m 6152 11845
m 8331 7116
m 20434 6118
m 4015 27753
m 6830 18677
m 17771 9356
m 16568 28991
m 6936 17414
m 10876 7323
m 11425 4355
m 25225 9899
m 16422 1096
m 16096 22058
m 11249 18004
m 4843 15547
m 25234 7930
>>>>>>> ce7dc34 (plot e problema do solver otimo)
