A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
m 5449 15647
m 13321 18050
m 16542 15987
m 8445 14833
=======
n 23427 23258
n 11411 22011
n 18399 12339
n 31967 19595
n 10088 5773
n 14978 10296
n 27353 1918
n 9176 938
n 13658 8053
n 31925 7842
n 24676 25689
n 31235 8195
n 10657 8200
n 22726 3266
n 24290 14626
n 4069 8962
n 26674 1696
n 1935 8237
n 25283 27870
n 1949 19472
n 14904 4226
n 18312 27889
n 32614 3482
n 13006 7534
n 9869 20537
n 25950 19866
n 15903 13545
n 5064 23359
n 22981 5911
n 20643 1375
n 1902 16383
n 27299 25001
n 9590 6034
n 8478 25530
n 21399 28484
n 13065 19445
n 6148 23416
n 28126 23746
n 14880 4504
n 7722 1698
n 27689 19585
n 27904 22550
n 28506 25312
n 11493 13130
n 19211 4340
n 20990 3465
n 4674 29795
n 13973 28942
n 3999 13333
n 1883 25320
n 15688 12360
n 5592 21786
n 28996 19247
n 17975 19174
n 13453 4144
n 10790 3967
n 31274 1978
n 1954 29460
n 25081 16815
n 16614 10197
n 13445 2428
n 17710 3906
n 7784 5734
n 21584 8378
n 18808 8308
n 7605 8823
n 11562 14406
n 2546 23150
n 7603 22324
n 27998 4740
n 14064 15819
n 28667 25957
n 15960 23888
n 30178 7816
n 623 16447
n 27470 14612
n 32210 4052
n 10173 23276
n 5959 11553
n 30928 16028
n 11617 6704
n 14150 7078
n 14968 25514
n 14797 11135
n 28181 5186
n 15287 4273
n 7430 464
n 8816 2456
n 22110 20764
n 33000 904
n 12968 27593
n 23924 16785
n 11526 5337
n 19778 11298
n 25283 25340
n 6268 27381
n 25283 15382
n 15487 1333
n 13275 19143
n 10900 8359
m 8401 1211
m 27801 8105
m 1861 13643
m 29677 19930
m 12766 25256
m 20076 23933
m 11493 10691
m 31309 11741
m 12529 25922
m 18613 16111
m 13762 13791
m 16862 62
m 6063 3888
m 4296 210
m 32055 11899
m 5546 28100
m 534 27800
m 25370 758
m 17283 9493
m 21681 1030
m 17605 21028
m 2096 15433
m 4933 15776
m 731 15948
m 11085 23173
m 4774 12256
m 31304 6425
m 26454 1509
m 22073 15597
m 16104 1987
m 14470 19360
m 22989 6845
m 5648 20262
m 19073 7805
m 4294 21870
m 6024 4467
m 627 1245
m 18479 25182
m 15887 27289
m 8744 23040
m 15737 552
m 19981 25005
m 30528 21679
m 2481 5683
m 12998 9752
m 2742 3285
m 11372 4819
m 16448 4547
m 24198 13174
m 433 11535
m 4258 536
m 32836 4380
m 3446 27675
m 21722 2328
m 12949 18440
m 9740 18955
m 20347 9725
m 11730 28536
m 28488 6021
m 19818 8419
m 17103 9701
m 18078 27821
m 17450 7150
m 24723 26272
m 29156 10964
m 19669 14665
m 7251 4144
m 1797 20056
m 30604 5932
m 331 5583
m 27564 25419
m 2022 901
m 23281 7362
m 10754 2246
m 2675 13281
m 3056 4658
m 11609 23723
m 24663 2395
m 4811 20468
m 5835 4812
m 27923 11916
m 26229 28149
m 20466 8563
m 22384 654
m 24907 28404
m 27594 3828
m 13022 24612
m 19127 29614
m 23538 19696
m 25989 1995
m 19225 11096
m 12827 23599
m 7164 151
m 31282 29363
m 3788 739
m 22484 27849
m 28989 2879
m 17101 19265
m 32801 7404
m 29078 20137
>>>>>>> ce7dc34 (plot e problema do solver otimo)
