A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
n 20514 11803
n 26971 20801
n 13676 21808
n 14471 26114
n 23560 7791
n 18918 28788
n 26102 15820
n 2691 29652
n 29818 16105
n 3135 20344
n 32873 24211
n 21948 25715
n 15606 22343
n 12629 20481
n 11599 13950
n 11703 5182
n 20788 14640
n 25390 10716
n 26763 25150
n 25187 22373
n 28813 11220
n 28047 28732
n 5368 14745
n 14558 26433
n 15563 11128
n 12945 27941
n 9830 27367
n 13818 22533
n 17487 22129
n 5939 5694
n 27548 26234
n 27445 14730
n 11856 13346
n 15076 14940
n 1136 10030
n 24185 13228
n 1206 2546
n 3102 9385
n 1452 6148
n 17285 11652
n 14534 6652
n 18087 12421
n 32879 12935
n 20253 936
n 14533 21303
n 27107 847
n 18486 2904
n 30114 2944
n 5516 3910
n 8876 28191
n 26965 22311
n 7117 8347
n 9544 2998
n 15320 26665
n 16950 9525
n 32100 28846
n 17542 27462
n 7497 19111
n 25176 25042
n 305 6567
n 8903 14540
n 8543 22372
n 18056 10306
n 15932 2976
n 4128 29140
n 11493 4983
n 4326 21106
n 16378 10556
n 25561 19822
n 8290 22021
n 14314 8776
n 20816 1832
n 4764 13992
m 24429 8617
m 26540 7901
m 27999 12031
m 10350 18554
m 916 3816
m 28180 18785
m 14474 23743
m 7268 7958
m 13003 14385
m 9249 9100
m 18071 28633
m 25995 22799
m 29040 22483
m 7090 18968
m 5308 3665
m 27838 20570
m 31409 9726
m 18939 14817
m 19578 14673
m 18016 5359
m 26175 3141
m 26845 26197
m 19603 17155
m 14982 15248
m 28166 23913
m 11373 272
m 15356 12173
m 11817 828
m 10558 17759
m 1620 6483
m 30098 22156
m 15723 17479
m 20975 14747
m 2287 19957
m 20226 11924
m 31173 1406
m 4645 17562
m 27484 6214
m 30099 18613
m 27672 11963
m 3189 15170
m 24844 439
m 14696 4021
m 10466 18970
m 24655 18009
m 25640 18094
m 3373 18732
m 5275 16549
m 25105 23466
m 25001 17999
m 9885 15006
m 18223 3162
m 14992 12133
m 22327 25458
m 15307 11620
m 21008 24282
m 32915 15266
m 10062 6572
m 21669 8287
m 17004 26953
m 3936 14162
m 17116 2339
m 24909 2398
m 31522 14145
m 21935 5370
m 5710 5442
m 6829 18178
m 3574 17041
m 3149 28460
m 11499 3542
m 16500 21716
m 9967 15942
m 14617 23811
m 10158 1257
m 29682 27432
m 30742 20799
m 29538 11677
m 14040 26057
m 28258 20756
m 16935 9878
m 32076 24003
m 31029 1840
m 23627 18237
m 2067 28687
m 2989 4339
m 23524 18486
m 6214 10849
m 16978 19229
m 31381 16347
m 1730 11365
m 18035 29070
m 20125 25746
m 24117 18692
m 31312 27895
m 21293 18239
m 26922 4935
m 28201 11373
m 15635 4399
m 25432 2745
m 4514 21357
>>>>>>> ce7dc34 (plot e problema do solver otimo)
