A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
m 26308 536
m 23597 24577
m 30297 22798
m 17890 9871
m 21077 11050
m 12896 27272
m 8290 27118
m 8550 15104
m 32125 4966
m 6741 6352
m 29703 14532
m 18603 28957
m 18603 17505
m 20786 23282
m 16521 27509
m 8217 1655
m 22201 29348
m 30520 20340
=======
n 284 4936
n 27711 14024
n 10745 12829
n 16287 22816
n 13843 3129
n 14386 4657
n 14000 28891
n 20781 9498
n 11979 23088
n 2813 16625
n 1747 22424
n 3748 852
n 3883 26945
n 26937 22407
n 15104 23006
n 31970 17615
n 27193 14701
n 11255 29654
n 19535 672
n 9655 24292
n 16664 1759
n 29875 21971
n 16554 17868
n 12241 9889
n 3769 20443
n 666 24631
n 2948 7213
n 27257 3576
n 21645 17473
n 23431 8920
n 13263 1840
n 3331 13627
n 15467 24155
n 17258 11099
n 11988 3823
n 26728 11963
n 27969 10035
n 7624 11929
n 18957 10360
n 31037 13730
n 10837 24280
n 28917 411
n 9432 2508
n 22396 6115
n 28172 27282
n 28201 4848
n 2073 2553
n 27411 29224
n 12856 21709
n 23240 5526
n 7439 20432
n 12040 2101
n 6305 9016
n 1596 7828
n 14444 8359
n 24188 23223
n 18222 26848
n 25599 2154
n 9975 426
n 28011 3569
n 26725 19582
n 22977 18047
n 15023 12414
n 6742 19922
n 8699 22895
n 22273 21528
n 10445 6613
n 5865 12193
n 570 11938
n 345 13906
n 21671 9811
n 4146 8448
n 22944 5837
n 30947 25702
n 24886 13101
n 1369 20244
n 18505 6381
n 18105 3668
n 7433 17647
n 4012 5427
n 28540 28366
n 12798 27349
n 2701 23234
n 21299 6315
n 13601 28810
n 6133 22108
n 25748 6967
n 32067 18
n 6925 22262
n 23003 14068
n 6915 9327
n 27755 975
n 32008 7104
n 19968 29962
n 16531 22503
n 24218 6476
n 14745 18108
n 22175 10837
n 2671 22527
n 8724 2945
m 8545 21706
m 22598 17836
m 12937 6332
m 1463 1616
m 27268 26685
m 5473 9815
m 9921 29625
m 28431 6951
m 5995 3389
m 26592 14111
m 20202 14608
m 18795 18446
m 4005 546
m 28035 19388
m 32856 19397
m 10754 22180
m 6188 4846
m 32004 15696
m 10960 19496
m 32382 9246
m 8895 16001
m 8056 11570
m 28573 25834
m 29969 28890
m 25774 16332
m 4762 28363
m 32582 10064
m 21051 5507
m 32159 23281
m 10281 9219
m 18142 29372
m 893 4989
m 17280 17184
m 5160 21722
m 12459 13206
m 31625 16295
m 22381 10596
m 26837 16789
m 9658 9266
m 29473 19191
m 15519 24783
m 8022 1845
m 23032 4686
m 27532 15204
m 25207 19398
m 15492 22420
m 30269 13938
m 8699 10719
m 1881 5121
m 16383 18789
m 4326 20633
m 8060 6219
m 8977 5452
m 25219 16952
m 3023 9512
m 14303 11416
m 26529 14431
m 29635 22326
m 14693 29232
m 3257 22307
m 22552 12932
m 5176 24630
m 24175 20356
m 20089 10770
m 23278 26002
m 22731 26806
m 20922 21397
m 14222 28081
m 21847 25856
m 14548 28198
m 30571 15096
m 6916 14835
m 11049 5328
m 3400 9063
m 18108 15206
m 19508 29430
m 15830 25703
m 29445 24032
m 25567 27146
m 23107 16326
m 31254 8806
m 31862 28337
m 21151 165
m 1191 6491
m 15118 582
m 12586 13677
m 28632 27434
m 710 16795
m 9042 26565
m 7190 12854
m 8736 2188
m 4876 14033
m 13066 25704
m 13642 9830
m 22873 29655
m 23230 25192
m 23479 20376
m 14040 29981
m 30127 9966
m 19422 7185
>>>>>>> ce7dc34 (plot e problema do solver otimo)
