A 100 B 100 C 7000 D 10000
<<<<<<< HEAD
m 20437 22584
m 22055 13781
m 23209 28370
m 27272 21684
m 8592 11118
m 18292 18081
m 9673 17645
m 15093 11312
m 24190 729
m 3484 680
m 19542 6133
m 19913 28122
m 125 306
m 2809 4069
m 15899 7068
m 16887 16450
m 19427 11688
m 29791 4779
m 13598 4181
m 23079 20954
m 3744 13252
m 26260 16182
m 14685 2645
m 28051 19942
m 28619 23391
m 31119 22359
m 20334 27766
m 11928 20589
m 13025 20817
m 14247 7805
m 18760 6779
=======
n 28542 27913
n 30048 25840
n 19314 20358
n 24462 19948
n 31078 6452
n 20788 25560
n 29749 24756
n 5549 23882
n 16664 14282
n 32174 27361
n 12061 17573
n 9794 16565
n 23501 20450
n 9430 26767
n 15558 22643
n 23776 22000
n 24171 27366
n 29109 17113
n 22764 25552
n 1923 14109
n 22404 14307
n 23249 4947
n 7405 2250
n 30936 8802
n 29004 14710
n 29687 1587
n 11616 4626
n 23198 26484
n 24414 23787
n 6040 28484
n 32965 22584
n 30807 4165
n 15144 5849
n 11900 29793
n 13345 14062
n 15750 19223
n 20850 17218
n 7300 27317
n 6548 20661
n 9549 4913
n 15843 5407
n 23806 3464
n 593 10856
n 15763 23876
n 20511 11904
n 30158 3447
n 4733 6155
n 11190 20205
n 19374 5639
n 10278 12418
n 19719 17123
n 19013 27475
n 14279 9878
n 32252 16142
n 28351 927
n 14408 7921
n 24273 13800
n 6337 26759
n 23740 18856
n 7612 24847
n 3266 18850
n 8172 10099
n 18389 18956
n 15306 18392
n 6682 17123
n 30250 721
n 29811 2616
n 14686 11808
n 32216 29319
n 9596 1967
n 11819 27959
n 11286 20237
n 23264 27198
n 11936 8093
n 4094 27927
n 2133 29870
n 25996 17916
n 26221 4369
n 14320 25892
n 1809 13876
n 13057 5805
n 9078 1401
n 19694 3845
n 15985 8656
n 11249 13365
n 31809 27175
n 18477 21059
n 23200 27521
n 27691 8760
n 23286 9445
n 14982 6885
n 2677 18415
n 14070 21888
n 32375 26301
n 19822 2843
n 4552 11288
n 25947 24986
n 30888 18842
n 9081 24444
n 19754 26799
m 1906 20760
m 17927 18512
m 25641 11082
m 25579 19380
m 23139 18099
m 25720 24351
m 22710 5886
m 29330 9311
m 7142 11571
m 15977 27835
m 10965 28047
m 15817 9288
m 112 9163
m 25693 28636
m 1775 26911
m 29571 14505
m 12831 6962
m 11937 9462
m 12394 27338
m 30829 18326
m 28178 22904
m 22169 8563
m 22262 28952
m 896 4017
m 21594 10143
m 14614 28949
m 28946 27663
m 7369 4130
m 32052 20550
m 10190 22689
m 8064 24149
m 11390 13142
m 11719 14803
m 28700 15906
m 7774 24865
m 2211 26532
m 16661 16811
m 30437 29273
m 22427 7495
m 4022 7272
m 25001 9821
m 6899 23843
m 20134 13314
m 3781 988
m 22657 4481
m 6581 10903
m 22821 6248
m 11001 11307
m 15475 26094
m 3709 29287
m 31056 2144
m 26800 6840
m 17192 7908
m 14766 2436
m 22053 26161
m 1109 16844
m 19311 18993
m 22016 4490
m 17189 27813
m 1691 12258
m 21826 3238
m 3087 20104
m 23233 24752
m 6736 15053
m 32896 5971
m 31228 8160
m 27668 1409
m 1213 7520
m 30108 15251
m 29705 16087
m 3166 1030
m 7355 13443
m 19391 5490
m 25452 20224
m 24472 28621
m 1584 18360
m 30983 1092
m 25060 22747
m 31588 11460
m 6155 20246
m 4004 289
m 30740 24773
m 27901 9882
m 283 22483
m 2566 23282
m 3053 23817
m 8753 8241
m 6924 27460
m 8095 1621
m 14666 24573
m 11835 22163
m 19085 13455
m 29403 28691
m 17115 14644
m 27801 6361
m 18705 17185
m 20272 23487
m 3881 10301
m 30537 19330
m 18942 6333
>>>>>>> ce7dc34 (plot e problema do solver otimo)
